Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
HDR,2.3255814,97.6744186,468,459,387,9,378,0,0,10,378,0,0,368,0,0,10,0,sg_81
Reference,17.13836478,82.86163522,2182,2182,636,109,527,0,10,26,500,2,25,491,0,8,1,0,sg_82
HDR,1.38431114,98.61568886,2182,2182,1517,21,1496,0,3,25,1496,0,0,1468,0,3,25,0,sg_82
Reference,64.1509434,35.8490566,2455,2453,530,340,190,0,34,21,153,17,3,152,17,0,1,0,sg_83
HDR,25.69920844,74.30079156,2455,2453,1895,487,1408,0,6,15,1401,0,1,1393,6,0,8,0,sg_83
Reference,1.32669983,98.67330017,2116,2105,1206,16,1190,0,81,26,1158,23,0,1103,9,38,6,11,sg_84
HDR,0.11160714,99.88839286,2116,2105,896,1,895,0,3,23,872,0,20,872,3,0,0,0,sg_84
Reference,2.94275013,97.05724987,2971,2963,1869,55,1814,0,84,91,1764,28,21,1662,1,33,47,22,sg_85
HDR,0.0,100.0,2971,2963,1046,0,1046,0,5,12,1045,1,0,1033,0,0,8,4,sg_85
Reference,22.01834862,77.98165138,1957,1953,218,48,170,0,28,23,134,17,10,129,9,1,3,1,sg_86
HDR,0.05988024,99.94011976,1957,1953,1670,1,1669,0,4,4,1669,0,0,1661,0,4,4,0,sg_86
Reference,4.71747019,95.28252981,2392,2392,1929,91,1838,0,0,1,1838,0,0,1837,0,0,1,0,sg_87
HDR,0.0,100.0,2392,2392,460,0,460,0,0,0,460,0,0,460,0,0,0,0,sg_87
Reference,9.83333333,90.16666667,2911,2911,600,59,541,0,35,38,510,0,7,499,24,4,0,7,sg_88
HDR,0.69444444,99.30555556,2911,2911,2304,16,2288,0,39,23,2288,0,0,2237,0,28,12,11,sg_88
Reference,78.94736842,21.05263158,3200,3170,76,60,16,0,0,0,16,0,0,16,0,0,0,0,sg_89
HDR,79.32269619,20.67730381,3200,3170,3071,2436,635,0,0,4,632,0,3,631,0,0,1,0,sg_89
Reference,14.89841986,85.10158014,2689,2689,443,66,377,0,12,0,365,12,0,365,0,0,0,0,sg_90
HDR,42.62806236,57.37193764,2689,2689,2245,957,1288,0,30,13,1258,19,11,1245,0,11,2,0,sg_90
Reference,29.05027933,70.94972067,2306,2306,358,104,254,0,8,12,243,0,3,242,8,0,1,0,sg_91
HDR,21.74586777,78.25413223,2306,2306,1936,421,1515,0,6,15,1514,0,1,1494,0,6,14,0,sg_91
Reference,7.77135517,92.22864483,1795,1781,1557,121,1436,0,10,25,1418,0,18,1401,0,10,7,0,sg_92
HDR,3.03030303,96.96969697,1795,1781,198,6,192,0,0,0,192,0,0,192,0,0,0,0,sg_92
Reference,54.80283114,45.19716886,2918,2918,1978,1084,894,0,0,15,880,0,14,879,0,0,1,0,sg_93
